CSVNumber,PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,StartDateTime,EndDateTime
0,X893,UD415,Exercising while listening music,2021-03-08 00:00:00,24.0,Monday,07:30,08:15,45.0,2.0,2021-03-08 07:30:00,2021-03-08 08:15:00
0,CW982,,ADS Lab 3,2021-03-08 00:00:00,24.0,Monday,08:45,11:15,150.0,1.0,2021-03-08 08:45:00,2021-03-08 11:15:00
0,H179,,Room and desk cleaning,2021-03-08 00:00:00,24.0,Monday,11:15,11:45,29.0,-1.0,2021-03-08 11:15:00,2021-03-08 11:45:00
0,CW982,,Preparing for ENTP presentation,2021-03-08 00:00:00,24.0,Monday,11:45,12:45,60.0,1.0,2021-03-08 11:45:00,2021-03-08 12:45:00
0,EL642,UD415,Online ENTP lecture,2021-03-08 00:00:00,24.0,Monday,13:15,14:15,59.0,0.0,2021-03-08 13:15:00,2021-03-08 14:15:00
0,L418,UD415,Video call at home,2021-03-08 00:00:00,24.0,Monday,14:15,14:45,30.0,2.0,2021-03-08 14:15:00,2021-03-08 14:45:00
0,CW982,,BML coursework 2,2021-03-08 00:00:00,24.0,Monday,14:45,17:15,149.0,-1.0,2021-03-08 14:45:00,2021-03-08 17:15:00
0,L418,,Walking in park,2021-03-08 00:00:00,24.0,Monday,17:15,17:45,30.0,2.0,2021-03-08 17:15:00,2021-03-08 17:45:00
0,CW982,,ML2 coursework,2021-03-08 00:00:00,24.0,Monday,18:15,20:45,150.0,1.0,2021-03-08 18:15:00,2021-03-08 20:45:00
0,L418,,Meditation,2021-03-08 00:00:00,24.0,Monday,20:45,21:15,29.0,1.0,2021-03-08 20:45:00,2021-03-08 21:15:00
0,L418,,Converstaion with flatmates,2021-03-08 00:00:00,24.0,Monday,22:00,23:00,60.0,1.0,2021-03-08 22:00:00,2021-03-08 23:00:00
0,S801,,Sleeping,2021-03-09 00:00:00,24.0,Tuesday,00:00,07:00,420.0,2.0,2021-03-09 00:00:00,2021-03-09 07:00:00
0,O733,,Getting ready,2021-03-09 00:00:00,24.0,Tuesday,07:00,07:30,29.0,1.0,2021-03-09 07:00:00,2021-03-09 07:30:00
0,X893,UD415,Exercising while listening music,2021-03-09 00:00:00,24.0,Tuesday,07:30,08:15,45.0,2.0,2021-03-09 07:30:00,2021-03-09 08:15:00
0,CW982,,ML2 coursework,2021-03-09 00:00:00,24.0,Tuesday,08:45,10:15,90.0,1.0,2021-03-09 08:45:00,2021-03-09 10:15:00
0,EL642,UD415,ADS LOIL session,2021-03-09 00:00:00,24.0,Tuesday,10:15,11:15,60.0,1.0,2021-03-09 10:15:00,2021-03-09 11:15:00
0,L418,,Meditation,2021-03-09 00:00:00,24.0,Tuesday,11:15,12:15,59.0,1.0,2021-03-09 11:15:00,2021-03-09 12:15:00
0,EL642,UD415,Online BML lecture,2021-03-09 00:00:00,24.0,Tuesday,12:15,13:15,60.0,0.0,2021-03-09 12:15:00,2021-03-09 13:15:00
0,H179,,Kitchen cleaning,2021-03-09 00:00:00,24.0,Tuesday,13:45,14:15,30.0,-2.0,2021-03-09 13:45:00,2021-03-09 14:15:00
0,CW982,,BML coursework 2,2021-03-09 00:00:00,24.0,Tuesday,14:15,15:15,59.0,-1.0,2021-03-09 14:15:00,2021-03-09 15:15:00
0,EL642,UD415,Online ENTP lecture,2021-03-09 00:00:00,24.0,Tuesday,15:15,16:15,60.0,1.0,2021-03-09 15:15:00,2021-03-09 16:15:00
0,EL642,UD415,Online Research Project Preparation lecture,2021-03-09 00:00:00,24.0,Tuesday,16:15,18:15,119.0,0.0,2021-03-09 16:15:00,2021-03-09 18:15:00
0,L418,,Jogging,2021-03-09 00:00:00,24.0,Tuesday,18:45,19:30,45.0,1.0,2021-03-09 18:45:00,2021-03-09 19:30:00
0,CW982,,ADS Lab 3,2021-03-09 00:00:00,24.0,Tuesday,19:30,21:30,120.0,1.0,2021-03-09 19:30:00,2021-03-09 21:30:00
0,UD415,,Online chatting with friend,2021-03-09 00:00:00,24.0,Tuesday,22:30,23:00,30.0,2.0,2021-03-09 22:30:00,2021-03-09 23:00:00
0,S801,,Sleeping,2021-03-10 00:00:00,24.0,Wednesday,00:00,08:00,480.0,2.0,2021-03-10 00:00:00,2021-03-10 08:00:00
0,O733,,Getting ready,2021-03-10 00:00:00,24.0,Wednesday,08:00,08:45,45.0,1.0,2021-03-10 08:00:00,2021-03-10 08:45:00
0,EL642,UD415,Online IPT session,2021-03-10 00:00:00,24.0,Wednesday,09:15,13:15,240.0,0.0,2021-03-10 09:15:00,2021-03-10 13:15:00
0,L418,UD415,Video call at home,2021-03-10 00:00:00,24.0,Wednesday,14:15,14:45,30.0,2.0,2021-03-10 14:15:00,2021-03-10 14:45:00
0,CW982,,ADS Lab 3,2021-03-10 00:00:00,24.0,Wednesday,14:45,16:45,119.0,1.0,2021-03-10 14:45:00,2021-03-10 16:45:00
0,T695,,Grocery shopping,2021-03-10 00:00:00,24.0,Wednesday,16:45,17:30,45.0,0.0,2021-03-10 16:45:00,2021-03-10 17:30:00
0,H179,,Laundary,2021-03-10 00:00:00,24.0,Wednesday,17:30,18:00,30.0,-1.0,2021-03-10 17:30:00,2021-03-10 18:00:00
0,CW982,,ML2 coursework,2021-03-10 00:00:00,24.0,Wednesday,18:30,20:30,119.0,1.0,2021-03-10 18:30:00,2021-03-10 20:30:00
0,L418,,Converstaion with flatmates,2021-03-10 00:00:00,24.0,Wednesday,20:30,21:00,30.0,2.0,2021-03-10 20:30:00,2021-03-10 21:00:00
0,CW982,,BML coursework 2,2021-03-10 00:00:00,24.0,Wednesday,22:00,23:30,90.0,0.0,2021-03-10 22:00:00,2021-03-10 23:30:00
1,S801,,,2021-03-05 00:00:00,23.0,Friday,06:15,08:30,135.0,2.0,2021-03-05 06:15:00,2021-03-05 08:30:00
1,ED145,,,2021-03-05 00:00:00,23.0,Friday,08:30,09:00,30.0,0.0,2021-03-05 08:30:00,2021-03-05 09:00:00
1,UD415,,,2021-03-05 00:00:00,23.0,Friday,09:00,10:00,60.0,-1.0,2021-03-05 09:00:00,2021-03-05 10:00:00
1,EL642,UD415,,2021-03-05 00:00:00,23.0,Friday,10:00,15:00,300.0,0.0,2021-03-05 10:00:00,2021-03-05 15:00:00
1,ED145,,Peanut butter on toast,2021-03-05 00:00:00,23.0,Friday,15:00,15:30,30.0,0.0,2021-03-05 15:00:00,2021-03-05 15:30:00
1,EL642,CW982,,2021-03-05 00:00:00,23.0,Friday,15:30,17:00,90.0,1.0,2021-03-05 15:30:00,2021-03-05 17:00:00
1,L418,,Watched the Covid Briefing,2021-03-05 00:00:00,23.0,Friday,17:00,17:45,45.0,0.0,2021-03-05 17:00:00,2021-03-05 17:45:00
1,T695,UD415,,2021-03-05 00:00:00,23.0,Friday,17:45,21:00,195.0,1.0,2021-03-05 17:45:00,2021-03-05 21:00:00
1,UD415,,,2021-03-05 00:00:00,23.0,Friday,21:00,22:00,60.0,0.0,2021-03-05 21:00:00,2021-03-05 22:00:00
1,S801,,,2021-03-05 00:00:00,23.0,Friday,22:00,08:00,600.0,2.0,2021-03-05 22:00:00,2021-03-05 08:00:00
1,ED145,,,2021-03-06 00:00:00,23.0,Saturday,08:00,08:30,30.0,0.0,2021-03-06 08:00:00,2021-03-06 08:30:00
1,H179,UD415, ,2021-03-06 00:00:00,23.0,Saturday,08:30,10:30,120.0,-1.0,2021-03-06 08:30:00,2021-03-06 10:30:00
1,CW982,,,2021-03-06 00:00:00,23.0,Saturday,10:30,12:00,90.0,-1.0,2021-03-06 10:30:00,2021-03-06 12:00:00
1,ED145,,,2021-03-06 00:00:00,23.0,Saturday,12:00,13:00,60.0,0.0,2021-03-06 12:00:00,2021-03-06 13:00:00
1,CW982,,,2021-03-06 00:00:00,23.0,Saturday,13:00,15:15,135.0,-1.0,2021-03-06 13:00:00,2021-03-06 15:15:00
1,X893,,,2021-03-06 00:00:00,23.0,Saturday,15:15,16:45,90.0,1.0,2021-03-06 15:15:00,2021-03-06 16:45:00
1,L418,,TV,2021-03-06 00:00:00,23.0,Saturday,16:45,18:00,75.0,1.0,2021-03-06 16:45:00,2021-03-06 18:00:00
1,ED145,,Cooked dinner,2021-03-06 00:00:00,23.0,Saturday,18:00,20:00,120.0,-1.0,2021-03-06 18:00:00,2021-03-06 20:00:00
1,ED145,,Ate dinner,2021-03-06 00:00:00,23.0,Saturday,20:00,20:30,30.0,1.0,2021-03-06 20:00:00,2021-03-06 20:30:00
1,L418,UD415,Zoom Quiz,2021-03-06 00:00:00,23.0,Saturday,20:30,22:00,90.0,2.0,2021-03-06 20:30:00,2021-03-06 22:00:00
1,S801,,,2021-03-06 00:00:00,23.0,Saturday,22:00,09:00,660.0,1.0,2021-03-06 22:00:00,2021-03-06 09:00:00
1,UD415,,,2021-03-07 00:00:00,23.0,Sunday,09:00,09:30,30.0,0.0,2021-03-07 09:00:00,2021-03-07 09:30:00
